,PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,EventTime
0,1,0,3,0,22.0,1,0,1666613328.0
1,2,1,1,1,38.0,1,0,1666613328.0
2,3,1,3,1,26.0,0,0,1666613328.0
3,4,1,1,1,35.0,1,0,1666613328.0
4,5,0,3,0,35.0,0,0,1666613328.0
5,6,0,3,0,-1.0,0,0,1666613328.0
6,7,0,1,0,54.0,0,0,1666613328.0
7,8,0,3,0,2.0,3,1,1666613328.0
8,9,1,3,1,27.0,0,2,1666613328.0
9,10,1,2,1,14.0,1,0,1666613328.0
10,11,1,3,1,4.0,1,1,1666613328.0
11,12,1,1,1,58.0,0,0,1666613328.0
12,13,0,3,0,20.0,0,0,1666613328.0
13,14,0,3,0,39.0,1,5,1666613328.0
14,15,0,3,1,14.0,0,0,1666613328.0
15,16,1,2,1,55.0,0,0,1666613328.0
16,17,0,3,0,2.0,4,1,1666613328.0
17,18,1,2,0,-1.0,0,0,1666613328.0
18,19,0,3,1,31.0,1,0,1666613328.0
19,20,1,3,1,-1.0,0,0,1666613328.0
20,21,0,2,0,35.0,0,0,1666613328.0
21,22,1,2,0,34.0,0,0,1666613328.0
22,23,1,3,1,15.0,0,0,1666613328.0
23,24,1,1,0,28.0,0,0,1666613328.0
24,25,0,3,1,8.0,3,1,1666613328.0
25,26,1,3,1,38.0,1,5,1666613328.0
26,27,0,3,0,-1.0,0,0,1666613328.0
27,28,0,1,0,19.0,3,2,1666613328.0
28,29,1,3,1,-1.0,0,0,1666613328.0
29,30,0,3,0,-1.0,0,0,1666613328.0
30,31,0,1,0,40.0,0,0,1666613328.0
31,32,1,1,1,-1.0,1,0,1666613328.0
32,33,1,3,1,-1.0,0,0,1666613328.0
33,34,0,2,0,66.0,0,0,1666613328.0
34,35,0,1,0,28.0,1,0,1666613328.0
35,36,0,1,0,42.0,1,0,1666613328.0
36,37,1,3,0,-1.0,0,0,1666613328.0
37,38,0,3,0,21.0,0,0,1666613328.0
38,39,0,3,1,18.0,2,0,1666613328.0
39,40,1,3,1,14.0,1,0,1666613328.0
40,41,0,3,1,40.0,1,0,1666613328.0
41,42,0,2,1,27.0,1,0,1666613328.0
42,43,0,3,0,-1.0,0,0,1666613328.0
43,44,1,2,1,3.0,1,2,1666613328.0
44,45,1,3,1,19.0,0,0,1666613328.0
45,46,0,3,0,-1.0,0,0,1666613328.0
46,47,0,3,0,-1.0,1,0,1666613328.0
47,48,1,3,1,-1.0,0,0,1666613328.0
48,49,0,3,0,-1.0,2,0,1666613328.0
49,50,0,3,1,18.0,1,0,1666613328.0
50,51,0,3,0,7.0,4,1,1666613328.0
51,52,0,3,0,21.0,0,0,1666613328.0
